Milliseconds,Weight (grams)
8048,-1.235392
8060,-0.5359422
8071,-0.3542669
8083,-1.017382
8094,-1.32623
8105,-0.426937
8117,-0.2997643
8128,-0.5904448
8140,-0.6903662
8200,-2.307276
8208,-1.998428
8220,-1.625994
8231,-1.680497
8243,-1.226308
8254,-1.898507
8265,-2.38903
8277,-2.052931
8294,-0.69945
8300,-1.453403
8364,-1.644162
8368,-1.380732
8380,-0.8629578
8391,-1.026466
8403,-1.907591
8414,-1.417067
8426,-2.043847
8437,-2.416282
8448,-2.234606
8460,-1.32623
8525,-2.616124
8528,-1.925758
8540,-1.426151
8551,-1.417067
8563,-1.389816
8574,-0.9992143
8586,-1.171806
8597,-1.353481
8608,-1.407984
8620,-2.080182
8684,-2.4617
8689,-2.806884
8700,-2.216439
8711,-1.090052
8723,-1.444319
8734,-1.635078
8746,-2.189188
8757,-2.289109
8768,-2.289109
8780,-1.898507
8887,-1.671413
8894,-0.9356278
8906,-0.3815182
8917,-1.008298
8929,-0.5904448
8940,-0.5086909
8951,-2.134685
8963,-3.742512
8974,-2.434449
8989,-2.479868
9035,-1.47157
9043,-2.02568
9054,-1.844004
9066,-0.617696
9077,-0.8175389
9089,-1.226308
9100,-1.553324
9111,-2.089266
9123,-0.69945
9134,-0.5631934
9181,-2.325444
9191,-2.443533
9203,-2.379946
9214,-1.426151
9226,-1.780418
9237,-1.95301
9249,-1.535156
9260,-0.77212
9271,-1.217225
9283,-1.444319
9332,-2.452617
9340,-1.344397
9351,-1.389816
9363,-1.417067
9374,-1.244476
9386,-1.208141
9397,-0.890209
9409,-1.526073
9420,-2.116517
9432,-1.54424
9482,-2.152853
9489,-2.007512
9500,-2.298193
9512,-2.034764
9523,-1.962093
9534,-2.189188
9546,-2.897721
9557,-1.68958
9572,-1.344397
9580,-1.807669
9630,-2.280025
9637,-2.443533
9649,-2.080182
9660,-1.753167
9672,-0.69945
9683,-0.8811253
9694,-1.135471
9706,-0.8447903
9717,-1.235392
9729,-2.198271
9890,-1.453403
9900,-0.9537953
9912,-0.9992143
9923,-1.989345
9934,-1.68958
9946,-1.053717
9957,-1.589659
9969,-1.716832
9980,-2.09835
9992,-1.289895
10042,-2.307276
10049,-1.871256
10060,-2.252774
10072,-1.571491
10083,-1.862172
10095,-1.54424
10106,-2.425365
10117,-1.762251
10129,-1.662329
10140,-2.252774
10195,-1.825837
10197,-2.234606
10209,-2.189188
10220,-0.4360208
10232,-1.226308
10243,-1.371649
10255,-0.9810467
10266,-1.934842
10281,-2.616124
10289,-1.625994
10339,-1.535156
10346,-0.9174603
10357,-2.416282
10369,-1.61691
10380,-1.771334
10392,-1.771334
