Milliseconds,Weight (grams)
11941,-2.643376
11947,-2.743297
11959,-2.289109
11970,-2.570706
11982,-2.207355
11993,-1.516989
12004,-1.998428
12016,-2.543454
12027,-2.670627
12039,-2.270941
12160,-1.734999
12164,-2.334528
12175,-2.924973
12187,-1.980261
12198,-2.343611
12209,-2.225523
12221,-2.688795
12232,-2.270941
12244,-0.7993713
12255,-1.380732
12324,-2.861386
12335,-2.198271
12346,-1.598743
12357,-1.971177
12369,-2.570706
12380,-2.361779
12392,-3.033978
12403,-2.806884
12414,-3.115731
12426,-2.270941
12492,-2.997643
12494,-3.08848
12505,-1.226308
12517,-1.489738
12528,-1.998428
12540,-2.17102
12551,-2.307276
12565,-2.143769
12574,-2.670627
12585,-2.597957
12653,-2.888638
12665,-2.688795
12676,-2.834135
12688,-1.907591
12699,-2.534371
12710,-2.034764
12722,-1.426151
12733,-1.380732
12745,-1.362565
12756,-2.134685
12860,-2.052931
12870,-1.989345
12881,-1.625994
12893,-1.235392
12904,-1.807669
12915,-1.153638
12927,-1.289895
12938,-2.516203
12950,-3.152067
12961,-3.433663
13010,-2.961308
13018,-3.188402
13029,-3.224737
13041,-2.407198
13052,-2.588873
13063,-1.862172
13075,-1.88034
13086,-2.107434
13098,-2.479868
13109,-1.898507
13162,-2.688795
13166,-3.315574
13177,-3.479082
13189,-1.934842
13200,-1.562408
13211,-2.352695
13229,-1.95301
13234,-1.934842
13246,-2.597957
13257,-1.916675
13307,-2.24369
13314,-1.962093
13325,-2.280025
13337,-1.971177
13348,-1.308062
13360,-1.407984
13371,-2.02568
13382,-2.225523
13394,-2.670627
13405,-2.679711
13452,-2.416282
13462,-2.879554
13473,-2.125601
13485,-1.816753
13496,-2.17102
13508,-2.334528
13519,-2.443533
13530,-1.171806
13542,-1.68958
13553,-2.334528
13601,-2.425365
13610,-2.72513
13621,-2.579789
13633,-2.379946
13644,-1.998428
13656,-1.88034
13667,-1.480654
13678,-2.588873
13690,-2.643376
13701,-2.034764
13755,-3.451831
13758,-3.415496
13770,-2.7978
13781,-1.516989
13792,-1.090052
13804,-1.099136
13821,-1.844004
13826,-2.125601
13838,-2.225523
13849,-2.734213
13900,-3.052145
13906,-2.370863
13918,-2.534371
13929,-2.788716
13940,-2.161936
13952,-1.526073
13963,-2.198271
13975,-2.143769
13986,-1.853088
13997,-2.788716
14052,-2.670627
14054,-2.988559
14066,-2.379946
14077,-2.688795
14088,-2.261858
14100,-2.270941
14111,-2.688795
14123,-2.134685
14134,-2.525287
14145,-2.906805
14201,-4.451045
14203,-3.188402
14214,-1.998428
14225,-2.298193
14236,-2.307276
14248,-2.934056
14259,-2.616124
14271,-2.588873
14282,-2.252774
14293,-2.534371
14348,-2.034764
14350,-1.798586
14362,-1.498821
14373,-1.95301
14384,-2.31636
14396,-2.198271
14407,-2.31636
14419,-2.952224
14431,-2.716046
14441,-2.180104
14492,-2.488952
14498,-1.871256
14510,-1.943926
14521,-2.752381
14532,-2.806884
14544,-2.525287
14555,-2.470784
14567,-2.134685
14578,-1.798586
14589,-2.289109
14704,-3.379161
14715,-3.515417
14726,-2.643376
14738,-1.798586
14749,-1.88034
14760,-1.362565
14772,-2.806884
14783,-3.669841
14794,-3.224737
14806,-2.207355
14861,-2.688795
14863,-2.879554
14874,-3.224737
14886,-3.306491
14897,-2.252774
14908,-1.153638
14920,-1.762251
14931,-3.097564
14943,-3.370077
14954,-3.052145
15016,-2.706962
15022,-2.661543
15034,-2.588873
15045,-2.152853
15056,-2.24369
15068,-1.789502
15079,-2.02568
15091,-2.207355
15104,-1.771334
15113,-1.725915
15169,-1.662329
15170,-2.325444
15182,-3.370077
15193,-2.498035
15204,-2.488952
15216,-2.697878
15227,-2.643376
15239,-2.479868
15250,-1.943926
15261,-2.525287
15320,-2.924973
15330,-2.31636
15341,-1.589659
15353,-1.998428
15364,-3.097564
15375,-2.597957
15387,-1.598743
15398,-1.171806
15409,-1.099136
15421,-2.225523
15478,-1.962093
15489,-2.961308
15501,-2.416282
15512,-2.207355
15523,-2.4617
15535,-2.852302
15546,-1.962093
15557,-2.116517
15569,-2.180104
15580,-2.597957
15639,-2.125601
15649,-2.65246
15660,-2.988559
15671,-3.324658
15683,-2.94314
15694,-1.625994
15706,-1.943926
15717,-2.579789
15728,-2.479868
15740,-1.744083
15800,-2.779632
15808,-2.207355
15819,-2.116517
15831,-2.071099
15842,-2.843219
15854,-3.08848
15865,-1.389816
15876,-1.426151
15888,-1.807669
15899,-2.107434
15960,-2.479868
15967,-2.852302
15979,-2.234606
15990,-1.653245
16002,-2.071099
16013,-2.806884
16024,-2.216439
16036,-2.062015
16047,-1.934842
16059,-1.417067
16120,-2.125601
16127,-2.570706
16138,-2.370863
16150,-2.02568
16161,-1.780418
16173,-2.216439
16184,-1.762251
16195,-1.380732
16207,-2.516203
16218,-3.488166
16281,-2.31636
16286,-1.798586
16298,-2.625208
16309,-2.216439
16321,-2.743297
16332,-2.688795
16343,-2.007512
16362,-2.579789
16366,-3.706176
16378,-2.7978
16445,-1.008298
16446,-1.580575
16457,-1.498821
16469,-2.034764
16480,-2.670627
16491,-1.95301
16503,-1.834921
16514,-2.434449
16526,-2.806884
16537,-2.507119
16605,-2.234606
16617,-3.23382
16628,-2.107434
16639,-1.789502
16651,-1.780418
16662,-1.580575
16674,-1.816753
16685,-2.31636
16696,-2.452617
16708,-0.7176175
16772,-3.215653
16776,-3.115731
16787,-2.834135
16799,-2.270941
16810,-3.388245
16822,-2.779632
16833,-2.270941
16844,-2.806884
16856,-2.052931
16867,-2.815967
16972,-2.325444
16981,-2.87047
16993,-3.270156
17004,-2.970391
17015,-2.062015
17027,-2.861386
17038,-1.862172
17049,-1.68958
17061,-2.543454
17072,-1.980261
17117,-2.089266
17129,-2.934056
17140,-2.298193
17152,-1.635078
17163,-2.452617
17175,-3.188402
17186,-3.170234
17197,-2.670627
17209,-3.061229
17220,-1.798586
17323,-2.743297
17334,-3.224737
17346,-3.115731
17357,-2.252774
17368,-2.961308
17380,-1.898507
17391,-2.661543
17402,-2.761465
17414,-2.298193
17425,-1.898507
17471,-1.916675
17482,-1.862172
17494,-1.762251
17505,-2.052931
17516,-2.143769
17528,-2.052931
17539,-1.95301
17551,-2.706962
17562,-3.479082
17573,-1.480654
17624,-3.16115
17630,-3.061229
17642,-2.525287
17653,-1.871256
17664,-2.897721
17676,-3.152067
17692,-2.588873
17699,-2.761465
17710,-2.234606
17721,-2.65246
17769,-2.961308
17778,-2.779632
17790,-2.488952
17801,-2.325444
17813,-2.062015
17824,-2.834135
17835,-1.598743
17847,-1.289895
17858,-2.198271
17869,-2.570706
17923,-3.833349
17926,-2.770549
17938,-2.579789
17949,-1.934842
17960,-1.308062
17972,-2.143769
17983,-2.216439
17995,-2.625208
18006,-2.252774
18017,-1.25356
18072,-2.143769
18074,-2.670627
18086,-3.324658
18097,-3.297407
18109,-2.625208
18120,-2.561622
18131,-2.089266
18143,-2.706962
18154,-2.24369
18166,-2.470784
18215,-1.844004
18222,-2.498035
18234,-2.161936
18245,-2.207355
18257,-2.534371
18268,-2.470784
18279,-2.216439
18291,-2.261858
18302,-1.825837
18314,-1.653245
18364,-1.962093
18371,-2.970391
18382,-3.878768
18393,-1.971177
18405,-1.962093
18416,-2.743297
18427,-3.01581
18439,-2.834135
18450,-2.325444
18462,-1.671413
18516,-2.897721
18519,-2.924973
18530,-2.579789
18541,-1.589659
18553,-0.890209
18564,-2.152853
18575,-2.343611
18587,-2.370863
18598,-2.561622
18610,-2.498035
18664,-2.043847
18667,-2.189188
18678,-2.607041
18689,-3.188402
18701,-2.770549
18712,-1.653245
18724,-1.380732
18735,-2.379946
18746,-3.106648
18758,-2.616124
18812,-2.616124
18815,-2.561622
18826,-3.342826
18837,-3.460915
18849,-2.852302
18860,-2.516203
18872,-2.452617
18883,-2.189188
18898,-2.561622
18906,-3.024894
18963,-1.989345
18974,-3.415496
18986,-4.114946
18997,-2.661543
19008,-2.770549
19020,-3.597171
19031,-3.215653
19042,-3.315574
19054,-1.553324
19065,-0.9901304
19120,-1.671413
19122,-2.716046
19134,-1.816753
19145,-2.434449
19156,-2.252774
19168,-1.235392
19179,-1.925758
19191,-2.434449
19202,-3.624423
19213,-3.533585
19271,-2.779632
19282,-3.188402
19293,-3.251988
19304,-2.280025
19316,-1.716832
19327,-2.016596
19339,-2.361779
19350,-2.534371
19361,-2.161936
19373,-2.034764
19433,-1.962093
19441,-3.052145
19452,-3.406412
19464,-2.09835
19475,-1.598743
19487,-2.016596
19498,-2.307276
19517,-2.734213
19521,-2.298193
19532,-2.579789
19591,-2.934056
19600,-2.161936
19612,-2.02568
19623,-1.716832
19635,-2.161936
19646,-3.08848
19657,-3.342826
19669,-2.252774
19680,-2.016596
19692,-3.388245
19811,-3.070313
19817,-3.01581
19828,-1.898507
19840,-2.034764
19851,-1.916675
19862,-3.024894
19874,-2.152853
19885,-2.116517
19897,-2.089266
19908,-1.762251
19967,-3.043061
19976,-2.370863
19988,-2.552538
19999,-2.761465
20011,-3.251988
20022,-3.342826
20033,-2.407198
20045,-2.516203
20056,-2.579789
20067,-2.488952
20132,-3.043061
20136,-2.152853
20147,-2.334528
20159,-2.779632
20170,-2.879554
20181,-3.56992
20193,-2.434449
20211,-1.208141
20216,-1.807669
20227,-2.089266
20290,-2.761465
20295,-2.180104
20307,-2.552538
20318,-2.770549
20329,-3.742512
20341,-3.869684
20352,-3.56992
20364,-2.906805
20375,-2.997643
20386,-3.142983
20449,-2.31636
20455,-2.334528
20466,-2.470784
