Milliseconds,Weight (grams)
15352,-0.463272
15364,-0.8175389
15375,-1.516989
15387,-0.9628791
15398,-0.3633506
15454,-0.5631934
15456,-0.01816753
15466,-0.9083766
15478,-1.571491
15489,-2.016596
15501,-1.54424
15512,-2.034764
15524,-1.135471
15535,-1.053717
15546,-1.308062
15606,-0.8266227
15615,-1.180889
15626,-1.825837
15638,-1.044633
15649,-0.7085337
15661,-0.1180889
15672,-0.3270155
15683,-0.8992928
15695,-1.834921
15706,-1.698664
15766,-1.943926
15775,-1.3989
15786,-1.289895
15797,-1.807669
15809,-2.434449
15820,-1.380732
15834,-0.1816753
15843,-0.3633506
15855,-0.308848
15866,-0.04541883
15986,0.3542669
15991,-0.4723558
16003,-0.272513
16014,-1.071884
16026,-1.3989
16037,-1.535156
16048,-1.535156
16060,-1.044633
16071,-1.099136
16083,-1.680497
16145,-1.598743
16151,-0.5631934
16163,-1.625994
16174,-1.907591
16185,-1.217225
16197,-0.8266227
16208,-0.581361
16220,-0.8266227
16231,-1.744083
16243,-1.153638
16307,-2.043847
16311,-2.134685
16322,-1.380732
16334,-0.6267798
16345,-1.380732
16357,-1.998428
16368,-1.589659
16379,-0.7085337
16391,-1.25356
16402,-1.562408
16467,-1.480654
16471,-0.3724344
16482,-0.7902876
16494,-1.044633
16505,-1.744083
16516,-1.32623
16528,-1.180889
16539,-0.8992928
16551,-0.3633506
16562,-0.9901304
16627,-0.6903662
16631,-1.698664
16642,-1.244476
16653,-1.526073
16665,-3.124815
16676,-2.052931
16688,-0.3996857
16699,-1.117303
16710,-1.598743
16722,-2.189188
16784,-2.516203
16790,-1.426151
16802,-0.8720415
16813,-1.108219
16825,-0.308848
16836,-1.126387
16847,-2.143769
16859,-2.670627
16870,-1.916675
16882,-1.453403
16949,-1.498821
16950,-1.035549
16962,-1.235392
16973,-0.6540311
16984,-1.625994
16996,-2.507119
17007,-1.907591
17019,-2.470784
17030,-2.09835
17041,-1.444319
17148,-1.489738
17156,-1.371649
17167,-1.099136
17178,-1.353481
17190,-0.8266227
17201,-0.9628791
17213,-1.562408
17231,-1.653245
17235,-1.135471
17247,-0.8266227
17292,-0.426937
17304,-1.526073
17315,-1.95301
17327,-2.161936
17338,-1.871256
17350,-2.470784
17361,-1.635078
17372,-1.598743
17384,-1.526073
17395,-1.099136
17444,-0.7902876
17452,-2.052931
17464,-1.871256
17475,-2.343611
17487,-1.916675
17498,-1.444319
17509,-1.080968
17521,-1.171806
17532,-1.889423
17544,-2.370863
17590,-0.6267798
17601,-1.135471
17612,-1.771334
17624,-1.035549
17635,-1.180889
17646,-1.825837
17658,-1.680497
17669,-1.344397
