Milliseconds,Weight (grams)
8521,-2.752381
8532,-1.780418
8543,-1.834921
8555,-1.943926
8566,-1.625994
8578,-1.798586
8589,-1.498821
8600,-1.3989
8710,-1.925758
8715,-2.325444
8726,-2.289109
8738,-1.271727
8749,-1.235392
8766,-1.853088
8772,-1.844004
8783,-2.498035
8795,-3.142983
8806,-1.344397
8855,-2.325444
8863,-1.943926
8875,-1.635078
8886,-1.516989
8897,-0.4178532
8909,-0.2270941
8920,0.1180889
8932,-0.7902876
8943,-2.24369
8955,-1.889423
9009,-1.644162
9012,-1.135471
9023,-0.8175389
9034,-1.644162
9046,-2.87047
9057,-1.262643
9069,-0.5177746
9080,-1.353481
9092,-1.725915
9103,-1.916675
9154,-2.24369
9160,-2.379946
9172,-2.670627
9183,-1.308062
9194,-1.435235
9206,-1.507905
9217,-0.7902876
9229,-1.798586
9240,-0.9447116
9252,-0.8629578
9305,-2.87047
9309,-2.779632
9320,-1.844004
9331,-2.034764
9343,-2.670627
9354,-2.24369
9368,-1.426151
9377,-1.407984
9389,-0.6449473
9400,-1.662329
9454,-2.216439
9457,-0.7630363
9469,-1.943926
9480,-2.234606
9491,-2.09835
9503,-1.071884
9514,-0.6721987
9526,-1.371649
9537,-1.480654
9549,-1.95301
9599,-1.226308
9606,-1.798586
9617,-2.525287
9629,-2.607041
9640,-1.989345
9651,-1.308062
9663,-1.744083
9674,-1.707748
9686,-0.7902876
9697,-1.208141
9803,-2.052931
9811,-1.571491
9823,-2.09835
9834,-1.998428
9846,-1.762251
9857,-2.743297
9868,-2.434449
9880,-2.607041
9891,-1.943926
9903,-2.09835
9963,-1.562408
9971,-2.370863
9983,-1.807669
9994,-1.126387
10005,-1.635078
10017,-1.853088
10031,-1.507905
10040,-2.488952
10051,-2.216439
10063,-1.916675
10122,-1.625994
10131,-2.007512
10142,-1.371649
10154,-0.7630363
10165,-2.089266
10177,-2.65246
10188,-2.334528
10200,-1.753167
10211,-2.016596
10223,-1.744083
10280,-2.425365
10291,-2.307276
10302,-2.407198
10314,-2.379946
10325,-1.707748
10337,-1.707748
10348,-1.644162
10360,-2.125601
10371,-1.95301
10382,-1.780418
10440,-2.979475
10451,-2.525287
10462,-1.934842
10474,-1.507905
10485,-1.362565
10497,-1.589659
10508,-1.353481
10520,-2.062015
10531,-1.653245
10542,-1.071884
10597,-1.625994
10599,-1.962093
10611,-1.344397
10622,-1.108219
10634,-2.189188
10651,-2.4617
10657,-1.898507
10668,-1.762251
10679,-1.235392
10691,-1.635078
10751,-2.425365
10759,-1.562408
10771,-0.9810467
10782,-1.335314
10794,-2.143769
10805,-2.616124
10816,-2.625208
10828,-2.134685
10839,-2.134685
10851,-2.052931
10918,-2.02568
10919,-1.798586
10931,-1.907591
10942,-2.570706
10953,-2.38903
10965,-2.679711
10976,-2.988559
10988,-2.643376
10999,-2.87047
11011,-2.543454
11069,-2.934056
11079,-2.180104
11091,-1.662329
11102,-2.143769
11113,-1.834921
11125,-2.134685
11136,-1.407984
11148,-0.1907591
11159,-1.589659
11171,-1.862172
11232,-1.162722
11239,-1.780418
11251,-2.234606
11262,-2.334528
11273,-1.68958
11290,-1.925758
11296,-1.798586
11308,-2.570706
11319,-2.398114
11330,-1.3989
11389,-3.342826
11399,-3.006727
11410,-2.152853
11422,-2.189188
11433,-0.8811253
11445,-1.008298
11456,-2.888638
11468,-2.897721
11479,-2.498035
11490,-2.543454
11547,-3.061229
11559,-2.007512
11570,-1.771334
11582,-2.02568
11593,-1.907591
11605,-1.562408
11616,-1.598743
11627,-1.580575
11639,-2.089266
11650,-2.152853
11709,-2.425365
11719,-0.9174603
11730,-0.426937
11742,-1.598743
11753,-3.01581
11764,-2.879554
11776,-3.079396
11787,-2.089266
11799,-1.716832
11810,-2.434449
11871,-2.643376
11879,-2.270941
11890,-2.161936
11902,-2.125601
11914,-2.561622
11924,-1.971177
11936,-2.24369
11947,-2.607041
11959,-1.816753
11970,-0.890209
12033,-1.071884
12039,-1.498821
12050,-1.925758
12062,-1.3989
12073,-1.862172
12084,-2.325444
12096,-2.579789
12107,-1.589659
12119,-1.371649
12130,-1.417067
12197,-2.31636
12199,-2.570706
12210,-2.534371
12221,-1.771334
12233,-1.725915
12244,-1.308062
12256,-0.6449473
12267,-0.9537953
12278,-2.7978
12290,-2.516203
12415,-2.952224
12427,-2.134685
12438,-2.152853
12450,-2.72513
12461,-1.925758
12473,-1.753167
12484,-0.3451831
12496,-0.6358636
12507,-1.280811
12518,-1.889423
12583,-3.824265
12587,-3.052145
12598,-1.862172
12610,-2.216439
12626,-2.4617
12633,-2.434449
12644,-1.707748
12655,-1.571491
12667,-1.244476
12678,-1.208141
12744,-2.17102
12747,-1.834921
12758,-1.653245
12770,-1.780418
12781,-1.462486
12793,-1.844004
12804,-2.161936
12815,-2.09835
12827,-2.543454
12838,-2.94314
12950,-2.561622
12952,-2.861386
12964,-2.080182
12975,-1.044633
12987,-1.417067
12998,-2.234606
13010,-1.734999
13021,-0.7630363
13032,-1.235392
13044,-1.380732
13088,-1.989345
13101,-1.671413
13112,-1.371649
13124,-1.47157
13135,-0.8720415
13147,-1.489738
13158,-1.707748
13169,-1.526073
13181,-1.998428
13192,-2.24369
13239,-2.334528
13249,-3.261072
13261,-2.152853
13272,-1.489738
13287,-1.235392
13295,-1.680497
13306,-1.998428
13318,-1.47157
13329,-0.5086909
13341,-1.753167
13392,-1.871256
13398,-1.825837
13409,-1.208141
13421,-0.9810467
13432,-2.09835
13444,-1.32623
13455,-0.5995286
13466,-1.962093
13478,-1.980261
13489,-2.252774
13539,-1.516989
13546,-1.753167
13558,-1.362565
13569,-0.9810467
13580,-1.162722
13592,-2.016596
13603,-1.889423
13615,-2.398114
13626,-1.653245
13638,-0.8811253
13686,-2.879554
13695,-2.507119
13706,-2.38903
13718,-2.062015
13729,-1.417067
13740,-2.134685
13752,-2.443533
13763,-3.006727
13775,-2.679711
13786,-1.716832
13838,-1.3989
13843,-1.426151
13855,-2.516203
13866,-2.252774
13880,-1.180889
13889,-1.289895
13900,-1.407984
13912,-2.216439
13923,-2.225523
13935,-1.507905
13985,-1.88034
13992,-1.95301
14003,-2.007512
14014,-1.853088
14026,-2.307276
14037,-2.525287
14049,-1.925758
14060,-2.661543
14072,-2.670627
14083,-2.398114
14134,-1.462486
14140,-2.470784
14152,-2.734213
14163,-1.980261
14174,-1.707748
14186,-1.362565
14197,-0.3451831
14209,-0.9447116
14220,-2.7978
14231,-2.643376
14282,-1.371649
14289,-3.142983
14300,-3.56992
14311,-2.834135
14323,-3.388245
14334,-2.697878
14346,-2.189188
14357,-2.016596
14369,-1.807669
14380,-1.217225
14435,-1.489738
14437,-1.317146
14448,-1.317146
14460,-0.9901304
14471,-2.052931
14483,-2.31636
14494,-1.816753
14506,-1.635078
14517,-2.325444
14528,-2.352695
14585,-2.234606
14597,-2.534371
14608,-2.089266
14620,-1.716832
14631,-1.971177
14643,-2.298193
14654,-2.352695
14665,-1.644162
14677,-1.353481
14688,-2.134685
14747,-2.189188
14757,-2.280025
14768,-1.971177
14780,-2.24369
14791,-2.062015
14802,-1.298978
14814,-1.562408
14825,-2.543454
14837,-2.334528
14848,-2.434449
14957,-3.261072
14962,-2.834135
14974,-1.871256
14985,-2.252774
14997,-3.052145
15008,-2.180104
15019,-1.353481
15031,-1.798586
15042,-1.68958
15054,-2.143769
15109,-2.234606
15111,-1.789502
